,accountid,key,quantity
165,5583674-TV2,pianomashup4km,2
166,5583674-TV2,resistance_khangcum,1
167,5583674-TV2,shapeofyoucover4km,1
168,5583674-TV2,tinhyeutralaitrangsaogiangtienm,1
169,5583674-TV2,worldparadises4km,1
170,5600207,10incredible4km,1
171,5600207,LYS005053027,1
172,5600207,LYS005068311,1
173,5600207,abrahamlincolnvampirehunterm,2
174,5600207,aoaminiskirt4km,1
175,5600207,baliindonesia4km,1
176,5600207,chichilandtap18m,1
177,5600207,closertombeercover4km,1
178,5600207,despacitofrench4km,1
179,5600207,drdimensionpants15m,1
180,5600207,iamnumberfourm,1
181,5600207,justiceleaguetrailer34km,2
182,5600207,pianomashup4km,3
183,5600207,ponybenho6tap1m,1
184,5600207,postmantoheavenm,1
185,5600207,streetfoodhanoi4km,1
186,5600207,uplakhoaim,1
187,5600207,vietnam4km,1
188,5626841,NhungDuaTreTinhNghich39p,2
189,5626841,aikidom,1
190,5626841,ballbasicso1m,1
191,5626841,kendom,1
192,5626841,nhungchuchocuuho26m,1
193,5626841,nhungchuchocuuho31m,1
194,5626841,nhungchuchocuuho32m,1
195,5626841,nhungchuchocuuho39m,1
196,5626841,nhungchuchocuuho43m,1
197,5626902,baogiolaychong4km,1
198,5626902,chuabaogio4km,1
199,5626902,gianghochomoi4km,1
200,5626902,lemon_dancecover4km,1
201,5626902,shotgunlovem,1
202,5626902,towbellmenthree_4km,1
203,5626902,transformer_thelastknight_4km,1
204,5629197,LYS008644232,1
205,5641929-TV1,badliardance4km,2
206,5641929-TV1,baliindonesia4km,3
207,5641929-TV1,giaithuonglonm,1
208,5641929-TV1,mininijas6m,1
209,5641929-TV1,tapchiclbvidainottinghamforesm,1
210,5641929-TV1,thoatkiepfa2m,1
211,5641929-TV1,wonderwomantrailer4km,2
212,5676229-TV1,6flingdragons9m,1
213,5676229-TV1,KingsmanTheSecretServicem,1
214,5676229-TV1,Tiestosevenn_dancecover4km,1
215,5676229-TV1,phienbanhoanhaotap7m,1
216,5676229-TV1,phobia2m,1
217,5723225,DP22_CactranchungketChampionsLeaguem,1
218,5723225,DP26_KhanangcuacaccauthutrongCasinom,4
219,5723225,KingsmanTheSecretServicem,1
220,5723225,LYS005068332,1
221,5723225,LYS012967670,2
222,5723225,LYS012977992,1
223,5723225,Selldon40m,1
224,5723225,TCDTVDtaybannha200820102012m,1
225,5723225,ThoiDaiHoangKimP4_1m,3
226,5723225,americandreamzm,3
227,5723225,anaivanovicm,1
228,5723225,badliardance4km,1
229,5723225,baliindonesia4km,1
230,5723225,belami12m,1
231,5723225,caccauthucuacambangainhuthenaom,1
232,5723225,changtraicuaem16m,1
233,5723225,comebackmister4m,1
234,5723225,corethem,5
235,5723225,danongvabongdam,1
236,5723225,diehardm,1
237,5723225,fatherofthebridem,3
238,5723225,ghostteamonem,1
239,5723225,gianghochomoi4km,1
240,5723225,gioithieuonfuturem,1
241,5723225,guardiansofthegalaxy2m,1
242,5723225,havana4km,1
243,5723225,hdrdemooledtv4km,1
244,5723225,iamnumberfourm,2
245,5723225,iceland4km,2
246,5723225,justiceleaguetrailer34km,1
247,5723225,kecapmattrang3m,1
248,5723225,khoevadepbaitapdanhchobuoisang_1m,1
249,5723225,nguoilaoi4km,2
250,5723225,nhaycungbibinhungnotnhacxinhm,1
251,5723225,nhaycungbibitonghopbaihathaym,1
252,5723225,phienbanhoanhaotap9m,1
253,5723225,piratesofthecaribbeandeadmentellnotm,9
254,5723225,quybadiepvienm,2
255,5723225,rastamouse26m,1
256,5723225,shotgunlovem,1
257,5723225,streetfoodhongkong4km,1
258,5723225,taken3m,1
259,5723225,tap146gaigulaphudum,1
260,5723225,tapchidanhthuferencpuskasm,2
261,5723225,tapchidanhthugeorgebestm,1
262,5723225,tapchidanhthulionelmessim,2
263,5723225,tapchidanhthupelem,2
264,5723225,tapchidoituyenvidaiphap1984_2m,1
265,5723225,thefamilyiscoming1m,3
266,5723225,thefamilyiscoming2m,1
267,5723225,thor3ragnaroktrailer24km,2
268,5723225,transformer_thelastknight_4km,1
269,5723225,vong11premierleague2017m,1
270,5723225,vucthamvohinhtap26m,1
271,5723225,wildromance6m,1
272,5751885-TV1,LYS013641142,3
273,5751885-TV1,aweekofromance2m,1
274,5751885-TV1,comebackmister1m,1
275,5751885-TV1,hellostrangerm,1
276,5751885-TV1,sanfrancisco4km,1
277,5751885-TV1,wonderwomantrailer4km,1
278,5751885.HDDVB-TV1,3daystokillm,1
279,5751885.HDDVB-TV1,phienbanhoanhaotap1m,1
280,5755581-TV2,LYS005068307,1
281,5755581-TV2,LYS013712123,1
282,5755581-TV2,Scarsm,1
283,5755581-TV2,changtraicuaem_tap1_4km,1
284,5755581-TV2,closerhellofaded4km,1
285,5755581-TV2,despacitofrench4km,1
286,5755581-TV2,dienvienlanphuongm,1
287,5755581-TV2,doctorstranger11m,1
288,5755581-TV2,doctorstranger12m,2
289,5755581-TV2,doctorstranger14m,1
290,5755581-TV2,doctorstranger15m,3
291,5755581-TV2,doctorstranger16m,2
292,5755581-TV2,doctorstranger17m,1
293,5755581-TV2,doctorstranger18m,1
294,5755581-TV2,doctorstranger7m,1
295,5755581-TV2,gioithieuonfuturem,1
296,5755581-TV2,hardwelllive4km,2
297,5755581-TV2,hdrdemooledtv4km,1
298,5755581-TV2,highsociety1m,1
299,5755581-TV2,hondacivicr4km,1
300,5755581-TV2,iceland4km,2
301,5755581-TV2,nhanvientoandienm,1
302,5755581-TV2,phuongbuonm,1
303,5755581-TV2,samsunghdrdemo4km,1
304,5755581-TV2,samsunghdrdemolg4km,1
305,5755581-TV2,sanfrancisco4km,1
306,5755581-TV2,streetfoodhanoi4km,3
307,5755581-TV2,streetfoodmalaysia4km,1
308,5755581-TV2,tiptoe4km,1
309,5755581-TV2,transformer_thelastknight_4km,1
310,5755581-TV2,vaanhsetrolaim,1
311,5755581-TV2,vietnam4km,1
312,5755581-TV2,yongpal1m,1
313,5755581-TV2,youcamefromthestars1m,1
314,5864561-TV3,aakharidealm,1
315,5864561-TV3,baliindonesia4km,1
316,5864561-TV3,gianghochomoi4km,1
317,5864561-TV3,justiceleaguetrailer34km,2
318,5864561-TV3,justicemyfootm,1
319,5864561-TV3,lemon_dancecover4km,1
320,5864561-TV3,masterofkungfuthem,1
321,5864561-TV3,samsunghdrdemo4km,1
322,5864561-TV3,timlaigiacmom,1
323,5864561-TV3,transformer_thelastknight_4km,1
324,5905087-TV3,KingsmanTheSecretServicem,1
325,5905087-TV3,despacito_dancecover4km,2
326,5905087-TV3,shapeofyou_4km,1
327,5905087-TV3,streetfoodhanoi4km,1
328,5905087-TV3,transformer_thelastknight_4km,1
329,5905087-TV3,work_dancecover4km,1
330,5910716-TV2,tiptoe4km,1
331,5911375-TV1,africanwildlife4km,1
332,5911375-TV1,basejumping4km,1
333,5911375-TV1,changtraicuaem_tap3_4km,1
334,5911375-TV1,cinematicgamestarwarsm,3
335,5911375-TV1,feelthelife4km,1
336,5911375-TV1,guardiangalaxy4km,1
337,5911375-TV1,iceland4km,1
338,5911375-TV1,lemon_dancecover4km,1
339,5911375-TV1,nyiragongovolcano4km,3
340,5911375-TV1,onemoretime4km,1
341,5911375-TV1,samsunghdrdemolg4km,1
342,5911375-TV1,sanfrancisco4km,2
343,5911375-TV1,streetfooddanang4km,1
344,5911375-TV1,streetfoodhanoi4km,3
345,5911375-TV1,streetfoodhongkong4km,2
346,5911375-TV1,streetfoodmalaysia4km,1
347,5911375-TV1,streetfoodsaigon4km,1
348,5911375-TV1,welcometonewyork4km,1
349,5911375-TV1,wonderwomantrailer4km,1
350,5913987-TV1,welcometonewyork4km,1
351,5914316-TV2,KingsmanTheSecretServicem,1
352,5914316-TV2,LYS014405360,1
353,5914316-TV2,onemoretime4km,1
354,5914316-TV2,taptruyendom,1
355,5915462-TV3,KingsmanTheSecretServicem,1
356,5915943-TV1,thorm,1
357,5918345-TV2,LYS013063614,1
358,5918345-TV2,baliindonesia4km,2
359,5918345-TV2,baotonlangnghemayaodaitrachxam,1
360,5918345-TV2,closertombeercover4km,1
361,5918345-TV2,gioithieuonfuturem,1
362,5918345-TV2,nyiragongovolcano4km,1
363,5918345-TV2,sanfrancisco4km,1
364,5918345-TV2,shotgunlovem,1
365,5918345-TV2,vietnam4km,1
366,5918345-TV2,wtac4km,1
367,5918871-TV3,Selldon6m,1
368,5918871-TV3,cinematicgamestarwarsm,1
369,5918871-TV3,hellostrangerm,1
370,5918871-TV3,sieusaotainangnhi2m,1
371,5918871-TV3,sieusaotainangnhi3m,1
372,5918871-TV3,sieusaotainangnhi4m,1
373,5918871-TV3,sieusaotainangnhi8m,1
374,5918871-TV3,titaniumalonecover4km,1
375,5918871-TV3,vietnam4km,1
376,5918871-TV3,worldparadises4km,1
377,5920161-TV1,abbasaroundtheworldm,1
378,5920161-TV1,changtraicuaem_tap1_4km,1
379,5920161-TV1,phienbanhoanhaotap2m,2
380,5920161-TV1,shotgunlovem,1
381,5920161-TV1,sophiesrevengem,1
382,5933108-TV1,KingsmanTheSecretServicem,1
383,5933108-TV1,Tiestosevenn_dancecover4km,1
384,5933108-TV1,charlieputh_dancecover4km,1
385,5933108-TV1,gioithieuonfuturem,2
386,5933108-TV1,nhungnuhonrucrop,1
387,5933108-TV1,shotgunlovep,3
388,5933108-TV1,trotyeum,2
389,5933108-TV1,trotyeup,1
390,5933108-TV1,wonderwomantrailer4km,1
391,5935624-TV1,bachngocduong1m,1
392,5935624-TV1,dormm,1
393,5935624-TV1,highsociety1m,1
394,5936724-TV2,LYS005068332,1
395,5936724-TV2,astrademovideo4km,1
396,5936724-TV2,genesisg90premium4km,1
397,5936724-TV2,gioithieuonfuturem,1
398,5936724-TV2,guardiangalaxy4km,1
399,5936724-TV2,itaintmelindsey4km,1
400,5936724-TV2,nyiragongovolcano4km,1
401,5936724-TV2,samsunghdrdemo4km,1
402,5936724-TV2,samsunghdrdemolg4km,1
403,5936724-TV2,sanfrancisco4km,1
404,5936724-TV2,streetfoodhongkong4km,1
405,5936724-TV2,titaniumalonecover4km,1
406,5936724-TV2,wonderwomantrailer4km,1
407,5939681-TV2,africanwildlife4km,2
408,5939681-TV2,astrademovideo4km,1
409,5939681-TV2,nyiragongovolcano4km,1
410,5943575-TV1,KingsmanTheSecretServicem,3
411,5943575-TV1,dongcamm,1
412,5943575-TV1,hotfuzzm,1
413,5943575-TV1,madmonkeykungfum,1
414,5943575-TV1,thandongdatvietparodym,1
415,5943575-TV1,tinvuim,1
416,5943575-TV1,tonghoptuyentapparodym,1
417,5945856-TV3,LYS005068311,1
418,5945856-TV3,casibichphuongm,1
419,5945856-TV3,legotap14m,1
420,5945856-TV3,legotap15m,1
421,5945856-TV3,thequeenofthesouth1m,1
422,5945856-TV3,wonderwomantrailer4km,1
423,5953046,LYS002171878,2
424,5953132,LYS002161371,1
425,5953132,TCdvliverpoolvsmanchesterunitedp,1
426,5953132,rastamouse27p,1
427,5953232,Khoevadepp,1
428,5953232,LYS002161371,2
429,5953232,LYS003482908,1
430,5953232,LYS005228795,1
431,5953232,aquayoga4tuthechienbinhp,2
432,5953232,cacbaitapvoitapowerdumbbellp,1
433,5953232,khoevadepJumpRopep,1
434,5953232,thanhvanchitap74p,1
435,5953313,ghetthiyeuthoitap20p,1
436,5956731,LYS003482908,1
437,5957551,LYS002171878,1
438,5957600,tapchiclbvidaimanchesterunited_1p,3
439,5957845,3daystokillm,1
440,5957845,Tiestosevenn_dancecover4km,1
441,5957845,cunhuthequocminhm,1
442,5957845,gianghochomoi4km,1
443,5957845,hellostrangerm,1
444,5957845,maichilanguoitinhtaquanghuym,1
445,5957845,phienbanhoanhaotap3_1m,1
446,5957845,streetfoodhanoi4km,1
447,5957845,thefamilyiscoming1m,1
448,5957845,vaobepcungbetap5m,1
449,5957845,yeusomm,1
450,5957845,youcamefromthestars18m,1
451,5957883,DP26_KhanangcuacaccauthutrongCasinop,1
452,5957883,danongsau5pm37p,1
453,5957883,gapdungdoithup,1
454,5957907,ghetthiyeuthoitap18p,1
455,5957923,ThoiDaiHoangKimP4_1p,1
456,5957923,gapdungdoithup,1
457,5958302,LYS005334085,1
458,5958609,tapchidanhthucristianoronaldop,1
459,5959177,LYS008644232,3
460,5959234,LYS002161371,1
461,5959234,LYS002171878,3
462,5959234,LYS002171883,4
463,5959724,sacmaukhonggianso2p,1
464,5959754,LYS002161371,1
465,5959754,LYS002171878,2
466,5959754,LYS002171883,1
467,5959754,LYS003482908,5
468,5959754,lamdepso8_lep,1
469,5960793,LYS002171878,1
470,5960793,LYS003482908,1
471,5960793,LYS005228795,1
472,5960793,LYS005294306,1
473,5960793,LYS013527296,1
474,5960793,LYS013527304,1
475,5960793,changtraicuaem_tap3_4kp,1
476,5960793,vanhoalechuap,1
477,5961361,LYS005334085,1
478,5962297,nguochieunuocmattap11p,1
479,5962297,vucthamvohinhtap21p,1
480,5962483,LYS008644232,1
481,5962960-TV2,casibichphuongm,1
482,5962960-TV3,chuyendemmuam,4
483,5962960-TV3,tamanhkhonghonthuyhuyenm,2
484,5962960-TV3,thanhphobuondinhphuocm,1
485,5962960-TV3,tinhdautinhcuoiduongngocthaim,1
486,5962960-TV3,tinhyeutralaitrangsaogiangtienm,1
487,5962992,LYS003482908,1
488,5962992,LYS005294306,1
489,5962992,LYS012550266,1
490,5962992,tapchidoituyenvidaibrazil19581962p,1
491,5963195,LYS002161371,2
492,5963195,LYS003482908,1
493,5963195,ThoiDaiHoangKimP4_1p,1
494,5963195,school20131p,1
495,5963500-TV2,springwaltz1m,1
496,5963500-TV2,vietnam4km,1
497,5963549,BietDoiToanHocP29m,1
498,5963549,BoBaTinhNghich20m,1
499,5963549,LYS005056949,1
500,5963549,LYS010928511,1
501,5963549,anhdaquenvoicodon4km,1
502,5963549,banhangdacapm,1
503,5963549,gioithieuonfuturem,1
504,5963549,justiceleaguetrailer34km,2
505,5963549,khocchocontimnguyenvum,1
506,5963549,marvelstheavengersm,1
507,5963549,marvelstheavengersp,1
508,5963549,mykingdomm,2
509,5963549,nhungchuchocuuho44m,1
510,5963549,streetfoodhanoi4km,1
511,5963549,tap150chanraunhuthanhbolerotaismilem,2
512,5963549,theoduoidammem,1
513,5963549,vietnam4km,1
514,5963714-TV1,codaudaichienm,1
515,5963714-TV1,iris1m,1
516,5963714-TV1,iris2m,1
517,5963714-TV1,nhungnuhonrucrom,1
518,5963714-TV1,vaobepcungbetap21m,1
519,5963828,LYS002161371,5
520,5963828,LYS002171878,16
521,5963828,LYS002171883,3
522,5963828,LYS005294306,2
523,5963828,LYS005334085,1
524,5964127,phantichtrandaugiuahaglflcthanhhoap,1
525,5965553,LYS005271648,1
526,5965553,LYS013910995,1
527,5965553,SuQuyenRuChetNguoi1p,1
528,5965553,cocobeachresortp,2
529,5965553,coniferboardhanoip,1
530,5965553,diamondbayp,1
531,5965553,hoabaytap12p,1
532,5965553,hoabaytap13p,2
533,5965553,hoabaytap16p,1
534,5965553,hoabaytap1p,1
535,5965553,hoabaytap20p,2
536,5965553,hoabaytap22p,1
537,5965553,hoabaytap2p,1
538,5965553,hoabaytap5p,2
539,5965553,honviettronglongnhungnguoiconxaxup,1
540,5965553,hotgirlcafe15p,1
541,5965553,nghesimualinhngap,2
542,5965553,nhugiotsuongngumuontap1p,1
543,5965553,phandanbatap1p,1
544,5965553,rupictinhyeutap1p,1
545,5965553,sacmaukhonggianso15p,1
546,5965553,sieusaotainangnhi1_2p,1
547,5965553,thefamilyiscoming1p,1
548,5965553,toamgioluatap1p,1
549,5965553,todongvuongvantap1p,1
550,5965553,vanhoalechuap,2
551,5965553,vietnamquagocnhincuanguoinuocngoaip,1
552,5965553,vongvayhoahongtap1p,1
553,5965553,wildromance1p,2
554,5965604,DP6_NhungbansaocuacauthuvaHLVp,1
555,5965604,LYS003582539,9
556,5965604,LYS003683324,1
557,5965604,LYS005271648,1
558,5965604,LYS011933618,1
559,5965604,NhungDuaTreTinhNghich29p,1
560,5965604,NhungDuaTreTinhNghich37p,1
561,5965604,PhieuLuuCungCoMayThoiGian19p,1
562,5965604,PhieuLuuCungCoMayThoiGian21p,1
563,5965604,PhieuLuuCungCoMayThoiGian24p,1
564,5965604,PhieuLuuCungCoMayThoiGian7p,1
565,5965604,baithovemep,1
566,5965604,casibichphuongp,1
567,5965604,casinguyenhaiyen_lep,1
568,5965604,chiataybaolauthimoinenconguoiyeumoip,1
569,5965604,chichilandtap12p,1
570,5965604,chuottromtrungp,1
571,5965604,cuocsongmuonmaup,1
572,5965604,dienvienanhthup,1
573,5965604,gioithieuonfuturep,1
574,5965604,hoahauphanhoangthu_lep,1
575,5965604,hotface28p,1
576,5965604,lamdepso3p,1
577,5965604,lamdepso8_lep,1
578,5965604,legotap4p,1
579,5965604,legotap5p,1
580,5965604,mininijas4p,1
581,5965604,muahoathangtup,1
582,5965604,nghedienvienp,1
583,5965604,ngoisaobibiso18p,1
584,5965604,ngoisaobibiso20p,1
585,5965604,ngoisaobibiso24p,2
586,5965604,ngoisaobibiso25p,1
587,5965604,ngoisaobibiso26p,1
588,5965604,nguoimauquynhthuphan4p,1
589,5965604,nguoimauthuyhang_lep,1
590,5965604,nhungduongcongnongbongp,1
591,5965604,phandanbatap32p,1
592,5965604,ponybenho2p,1
593,5965604,sacmaukhonggian40p,1
594,5965604,sacmaukhonggian66p,1
595,5965604,sacmaukhonggian72p,1
596,5965604,sieusaotainangnhi19_lep,1
597,5965604,sieusaotainangnhi1_2p,5
598,5965604,sieusaotainangnhi21_lep,1
599,5965604,trotaicungbeso11p,1
600,5965604,trotaicungbeso16p,2
601,5965604,vaytienp,2
602,5965604,whatsonso4p,1
603,5965604,xucxacluclacbaihatbaysaccauvongp,1
604,5965604,xucxacluclacchaothegioip,1
605,5965604,xucxacluclacemlabonghongnhop,1
606,5965604,xucxacluclacmuavongp,1
607,5966597,LYS002171878,2
608,5966597,LYS002171883,1
609,5966597,LYS003482908,1
610,5966597,LYS005228795,1
611,5966597,daukiemp,1
612,5967374,DP19_CauchuyenvePenaltyp,1
613,5967374,LYS002171878,2
614,5967374,LYS002171883,1
615,5967374,LYS003482908,2
616,5967376,LYS002171878,2
617,5967376,LYS005228795,1
618,5967376,LYS011553242,2
619,5967496,LYS011087082,1
620,5967496,LYS011521904,1
621,5967496,LYS011522020,1
622,5967496,LYS011553382,1
623,5967496,LYS011662423,1
624,5967496,LYS011850181,1
625,5967496,LYS012326013,2
626,5967496,LYS012454110,1
627,5967496,LYS012454218,1
628,5967496,LYS012550262,1
629,5967496,LYS012671634,1
630,5967496,LYS012672302,2
631,5967700,LYS002161371,1
632,5967700,LYS002171878,1
633,5967700,LYS002171883,3
634,5967700,LYS005294306,2
635,5967700,LYS012748367,1
636,5968975,LYS003482908,1
637,5968975,LYS005334085,1
638,5969189,PhieuLuuCungCoMayThoiGian20p,1
639,5969189,sancochunhatso6p,1
640,5969280,LYS012830904,1
641,5969566,LYS003482908,1
642,5969603,LYS002161371,1
643,5969603,LYS002171878,1
644,5969603,thequeenofthesouth1p,1
645,5969761,tapchidoituyenvidaibrazil19581962p,1
646,5972157,LYS003482908,6
647,5972157,LYS003582539,3
648,5972157,LYS005228795,1
649,5972157,LYS005271648,1
650,5972784,ThoiDaiHoangKimP3_1p,1
651,5972784,thanhvanchitap71p,1
652,5972784,thanhvanchitap74p,1
653,5973642,LYS002161371,1
654,5973642,LYS002171878,2
655,5973735,LYS002171878,2
656,5973735,LYS003482908,1
657,5973973,LYS002171878,6
658,5973973,LYS002171883,2
659,5973976,CuPitchXap,1
660,5973976,GolfingWorld15p,1
661,5973976,GolfingWorld16p,1
662,5973976,LYS002171883,1
663,5973976,bonhonangcaop,1
664,5973976,buidoanquanghuyp,1
665,5973976,gioithieuonfuturep,4
666,5973976,golfp,1
667,5973976,sancochunhatso6p,1
668,5973981,LYS003482908,1
669,5974255,LYS002171878,1
670,5974659,DP19_CauchuyenvePenaltyp,1
671,5975180,LYS002171878,1
672,5975329,LYS003482908,1
673,5975359,LYS002171878,4
674,5975427,LYS002171878,1
675,5975658,LYS005228795,1
676,5976443,LYS002171883,1
677,5977033,LYS002161371,1
678,5977204-TV2,SuQuyenRuChetNguoi1m,1
679,5977204-TV2,baliindonesia4km,2
680,5977204-TV2,basejumping4km,1
